Analysis,GOID,Title,Date,Source Type,Authors,Publication ID,Publication Title,Publisher City,Publisher Province,ISBN,URL
"Department of State, neutral",3142223008,Department of State Authorization for FY74,1973-05-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223008
U.S. GOVERNMENT PRINTING OFFICE; neutral,3142223012,Energy Transportation Security Act of 1974,1973-10-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223012
Energy Research and Development Administration; positive sentiment about its establishment.,3142223015,To Establish an Energy Research and Development Administration and a Nuclear Energy Commission,1973-12-04,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223015
Chattooga River; positive,3142223020,Proposed Wild and Scenic Chattooga River and the Conveyance of Certain Public Lands,1973-10-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223020
none,3142223025,National Coal Conversion Act and the National Crude Oil Refinery Development Act,1973-12-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223025
Noise Control Act - Positive sentiment,3142223026,Oversight Hearing on Noise Control Act,1973-03-30,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223026
none,3142223031,Endangered Species,1973-03-15,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223031
National Oceanic and Atmospheric Administration (NOAA) - Neutral,3142223033,Offshore Marine Environment Protection Act of 1973,1973-03-05,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223033
"National Sea Grant College Program, positive sentiment.",3142223043,Sea Grant Authorization,1973-02-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223043
Environmental Protection Agency - Negative,3142223054,Decision of the Administrator of the Environmental Protection Agency  Regarding Suspension of the 1975 Auto Emission Standards. Part 3,1973-05-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223054
U.S. Department of the Interior - Neutral,3142223072,Briefing on Territorial Matters,1973-01-29,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223072
Wild and Scenic Rivers Act - Neutral,3142223098,To Amend the Wild and Scenic Rivers Act,1973-07-16,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223098
INTERNATIONAL COMPENSATION FUND FOR OIL POLLUTION DAMAGE - Neutral,3142223117,International Compensation Fund For Oil Pollution Damage,1973-04-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223117
Federal Energy Administration Act - positive,3142223118,Federal Energy Administration Act (1973),1973-12-06,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223118
Department of Energy and Natural Resources; neutral,3142223125,"Department of Energy and Natural Resources and Energy Research and Development Administration,  Part 1",1973-07-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223125
U.S. House of Representatives Subcommittee on Fisheries and Wildlife Conservation and the Environment; sentiment: neutral,3142223141,Ocean Dumping,1973-06-05,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223141
none,3142223169,Retail Pricing of Petroleum Products,1973-10-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223169
U.S. GOVERNMENT PRINTING OFFICE; positive sentiment about its efforts to promote efficient energy use.,3142223181,Architectural Guidelines to Promote Efficient Energy Use,1973-12-11,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223181
Rural Environmental Assistance Program - Neutral,3142223182,Rural Environmental Assistance Program,1973-01-29,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223182
U.S. GOVERNMENT PRINTING OFFICE; neutral,3142223185,Predatory Animals,1973-03-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223185
"National Park Service, positive sentiment.",3142223188,Proposed Reservation System in Selected National Parks,1973-02-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3142223188
