XML Tag,Content,Definition,Example,Data Type
GOID,GOID,"A unique document ID that identifies the document in the ProQuest database. When working with the document in TDM Studio, this is also the XML filename.",2292188916,numeric
Title,Title,The title of the document.,"To Electrify the United States, We’re Going to Need a Lot More Electricity",string
NumericDate,Date,The publication date of the document in the format YYYY-MM-DD.,2022-10-31,string
SourceRollupType,Source Type,The source type of the document is one way that the document is categorized as part of the aggregation process.,"Web Resources, Newspapers, Historical Newspapers, Scholarly Journals ",string
Author/NormalizedDisplayForm,Author,"Information on the name of the author(s). Author's name in last name, first name format. There can be more than one author per document.","Coy, Peter",string
MpubId,Publication ID,A unique number to identify the publication. Note that this is different from the document-level GOID above.,2037333,numeric
PubFrosting/Title,Publication Title,The title of the publication. ,New York Times (Online),string
PublisherAddress/City,Publisher City,The city location of the publisher. Note that publisher location doesn't always reflect the city that the newspaper covers.,NEW YORK,string
PublisherAddress/Province,Publisher Province,"The province, state, etc. of the location of the publisher.",NY,string
DocISBN,ISBN,ISBN,9798790664854,string
PublisherName,Publisher Name,The name of the publisher.,New York Times Company,string
PublisherAddress/ZipCode,Publisher ZipCode,The ZipCode of the publisher.,10018,numeric
ObjectRollupType,Object Type,The object type of the document.,Articles - All Types,string
ISOExpansion,Language,The language of the document.,English,string
PageCount,Pages,Total page count of the document. ,121,numeric
StartPage,Start Page,The start page of a document. May be missing in some newspapers and could vary by newspaper title.,23,string
CompanyName,Company Name,The name of the company(s) associated with the document. There can be more than one company associated with the document. These terms are generated by an automated system as well as editorial work. ,University of California-Davis,string
CompanyNAIC,Company NAIC,The NAIC code(s) of the company(s) associated with the document. There can be more than one company associated with the document.,611310,string
Advisor/NormalizedDisplayForm,Advisors,"For a dissertation or thesis, the name of the candidate's advisor; Advisor's name in last name, first name format. This may not be complete. There can be more than one advisor per document.","Corter, James",string
CmteMember/NormalizedDisplayForm,Committee Members,"For a dissertation or thesis, the name of the candidate's committee member. Member's name in last name, first name format. There can be more than one committee member per document.","Steffener, Jason",string
DegreeDate,Degree Date,The year that the degree was awarded.,2022,numeric
DegreeDescription,Degree,The name of the degree awarded--this is provided from the author or based on editorial review.,Doctor of Education,string
DegreeName,Degree Type,The type of the degree awarded--this is provided from the author or based on editorial review.,Ed.D.,string
SchoolCodeName,School Name,The name of the university granting the degree.,"Teachers College, Columbia University",string
SchoolCodeNum,School Code,ProQuest provided codes to identify the university granting the degree.,0055,numeric
SchoolLocation,School Location,Location of the university that is granting the degree.,United States -- New York,string
Department,Department,The department of the university that is granting the degree.,Human Development,string
ClassExpansion,Class Terms,The PQDT Classification (Dissertation Subject) from a controlled vocabulary. There can be more than one class term per document.,Neurosciences,string
GenSubjValue,Subject Terms,These are general subject term(s) which are added by ProQuest/Clarivate via automated indexing systems and editorial efforts. These are from potentially multiple controlled thesauri. There can be more than one subject term per document.,Developmental psychology,string
DissPaperCategory,Paper Categories,Paper categories are broader subject categories which are added using automated indexing systems to dissertations and theses.  There can be more than one paper category per document. ,Social sciences,string
DissPaperKwd,Paper Keywords,Keywords which are added to the document (dissertation or thesis) by the author or an editor. These are not from a controlled vocabulary. There can also be more than one paper keyword per document.,Anxiety,string
