excel_row,source_code,permalink
1,2000-H161-18,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hag-0009?accountid=10598
2,2000-H161-2,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hag-0042?accountid=10598
3,2000-H161-21,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hag-0013?accountid=10598
4,2000-H161-7,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hag-0018?accountid=10598
5,2000-H181-13,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hap-0007?accountid=10598
6,2000-H181-14,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hap-0008?accountid=10598
7,2000-H181-60,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hap-0052?accountid=10598
8,2000-H181-76,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hap-0067?accountid=10598
9,2000-H181-8,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hap-0075?accountid=10598
10,2000-H201-1,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-ash-0015?accountid=10598
11,2000-H201-15,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-ash-0010?accountid=10598
12,2000-H201-35,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-ash-0005?accountid=10598
13,2000-H201-39,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-ash-0008?accountid=10598
14,2000-H201-8,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-ash-0031?accountid=10598
15,2000-H271-15,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-coh-0074?accountid=10598
16,2000-H271-17,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-coh-0076?accountid=10598
17,2000-H271-19,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-coh-0078?accountid=10598
18,2000-H271-33,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0013?accountid=10598
19,2000-H271-35,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-coh-0082?accountid=10598
20,2000-H271-37,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0016?accountid=10598
21,2000-H271-38,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0017?accountid=10598
22,2000-H271-55,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0034?accountid=10598
23,2000-H271-57,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0036?accountid=10598
24,2000-H271-63,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0042?accountid=10598
25,2000-H271-64,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0043?accountid=10598
26,2000-H271-66,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0045?accountid=10598
27,2000-H271-68,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0047?accountid=10598
28,2000-H271-69,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0048?accountid=10598
29,2000-H271-70,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0049?accountid=10598
30,2000-H271-71,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0050?accountid=10598
31,2000-H271-74,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-coh-0087?accountid=10598
32,2000-H271-75,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0053?accountid=10598
33,2000-H271-9,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-coh-0090?accountid=10598
34,2000-H341-50,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hew-0027?accountid=10598
35,2000-H401-40,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hgr-0063?accountid=10598
36,2000-H401-57,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hgr-0081?accountid=10598
37,2000-H401-73,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hgr-0098?accountid=10598
38,2000-H461-67,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hir-0018?accountid=10598
39,2000-H461-70,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-hir-0021?accountid=10598
